Timestamp	Side	Symbol	Price	Qty	PnL
PAPER-1772203864,SENSEX 05MAR 81200 CE,"BB15, Green",1050.05,1008.5,900,10,2026-02-27 20:21:04.347346,2026-02-27 20:21:04.456280,-373949.9999999996
PAPER-1772203865,SENSEX 05MAR 81200 CE,"BB13, Green",962.3,941.45,900,10,2026-02-27 20:21:05.954937,2026-02-27 20:21:06.075334,-187649.99999999919
PAPER-1772203866,SENSEX 05MAR 81200 CE,"BB13, Green",962.3,939.2,900,10,2026-02-27 20:21:06.077767,2026-02-27 20:21:06.139495,-207899.99999999919
PAPER-1772203866,SENSEX 05MAR 81200 CE,"BB13, Green",962.3,923.5,900,10,2026-02-27 20:21:06.141069,2026-02-27 20:21:06.202414,-349199.9999999996
PAPER-1772203867,SENSEX 05MAR 81200 CE,"BB12, BB17, Green",980.0,953.15,900,10,2026-02-27 20:21:07.228550,2026-02-27 20:21:07.347541,-241650.0000000002
PAPER-1772203869,SENSEX 05MAR 81200 CE,"BB12, CBB0, CBB1, CBB3",976.7,954.5,900,10,2026-02-27 20:21:09.407690,2026-02-27 20:21:10.004452,-199800.0000000004
PAPER-1772203870,SENSEX 05MAR 81200 CE,"BB12, CBB0, CBB4",986.3,957.1,900,10,2026-02-27 20:21:10.006913,2026-02-27 20:21:10.067085,-262799.99999999936
PAPER-1772203871,SENSEX 05MAR 81200 CE,"NRCB, BB12",903.25,920.5,900,10,2026-02-27 20:21:11.576631,2026-02-27 20:21:12.857023,155250.0
PAPER-1772203873,SENSEX 05MAR 81200 CE,CBBR2,903.55,880.0,900,10,2026-02-27 20:21:13.178454,2026-02-27 20:21:13.306684,-211949.9999999996
PAPER-1772203873,SENSEX 05MAR 81200 CE,"CBBR2, CBBR6, CBBR7",894.45,864.05,900,10,2026-02-27 20:21:13.759780,2026-02-27 20:21:13.825106,-273600.0000000008
PAPER-1772203874,SENSEX 05MAR 81200 CE,"NRCB, BB12, CBBR3, CBBR6",901.6,883.5,900,10,2026-02-27 20:21:14.277024,2026-02-27 20:21:14.408026,-162900.0000000002
PAPER-1772203875,SENSEX 05MAR 81200 CE,CBBR6,879.0,860.0,900,10,2026-02-27 20:21:15.465568,2026-02-27 20:21:15.535693,-171000.0
PAPER-1772203875,SENSEX 05MAR 81200 CE,CBBR6,879.0,830.0,900,10,2026-02-27 20:21:15.537093,2026-02-27 20:21:15.606624,-441000.0
PAPER-1772203876,SENSEX 05MAR 81200 CE,"CBBR1, CBBR3, CBBR6",855.0,847.65,900,10,2026-02-27 20:21:16.761699,2026-02-27 20:21:18.895374,-66150.0000000002
PAPER-1772203878,SENSEX 05MAR 81200 CE,"CBBR2, CBBR3",877.5,871.15,900,10,2026-02-27 20:21:18.897934,2026-02-27 20:21:19.133236,-57150.000000000204
PAPER-1772203880,SENSEX 05MAR 81200 CE,"BB12, BB13, CBBR2, CBBR3, CBBR5, Green",950.0,920.65,900,10,2026-02-27 20:21:20.059614,2026-02-27 20:21:20.572301,-264150.00000000023
PAPER-1772203881,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,924.35,900,10,2026-02-27 20:21:21.178168,2026-02-27 20:21:21.252708,-205650.0000000002
PAPER-1772203881,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,912.65,900,10,2026-02-27 20:21:21.254087,2026-02-27 20:21:21.328413,-310950.00000000064
PAPER-1772203881,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,897.15,900,10,2026-02-27 20:21:21.329828,2026-02-27 20:21:21.404617,-450450.00000000064
PAPER-1772203881,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,910.0,900,10,2026-02-27 20:21:21.405982,2026-02-27 20:21:21.481156,-334800.0000000004
PAPER-1772203881,SENSEX 05MAR 81200 CE,"BB8, CBB0, CBB3",947.2,915.4,900,10,2026-02-27 20:21:21.482542,2026-02-27 20:21:21.556524,-286200.00000000064
PAPER-1772203884,SENSEX 05MAR 81200 CE,"CBB0, CBB1, CBB2, CBB6, CBB7",860.7,718.1,900,10,2026-02-27 20:21:24.187350,2026-02-27 20:21:24.885323,-1283400.0000000002
PAPER-1772203888,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",274.05,256.1,900,10,2026-02-27 20:21:28.735815,2026-02-27 20:21:28.784492,-161549.99999999988
PAPER-1772203888,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",262.45,256.0,900,10,2026-02-27 20:21:28.982373,2026-02-27 20:21:29.032729,-58049.9999999999
PAPER-1772203889,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",262.45,255.1,900,10,2026-02-27 20:21:29.034087,2026-02-27 20:21:29.084394,-66149.99999999994
PAPER-1772203889,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",262.45,250.0,900,10,2026-02-27 20:21:29.085754,2026-02-27 20:21:29.135976,-112049.9999999999
PAPER-1772203889,SENSEX 05MAR 81200 PE,"BB5, BB8, BB12, BB17, Green",271.85,268.45,900,10,2026-02-27 20:21:29.644159,2026-02-27 20:21:29.749097,-30600.000000000306
PAPER-1772203890,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",239.95,286.0,900,10,2026-02-27 20:21:30.714876,2026-02-27 20:21:31.285139,414450.0000000001
PAPER-1772203891,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB4",294.8,314.5,900,10,2026-02-27 20:21:31.645515,2026-02-27 20:21:31.890918,177299.99999999988
PAPER-1772203892,SENSEX 05MAR 81200 PE,CBBR2,295.25,330.25,900,10,2026-02-27 20:21:32.098475,2026-02-27 20:21:32.974980,315000.0
PAPER-1772203893,SENSEX 05MAR 81200 PE,"BB6, BB8, BB12, CBB0, CBB1, CBB3, CBB8, Green",350.0,361.8,900,10,2026-02-27 20:21:33.041113,2026-02-27 20:21:33.559367,106200.0000000001
PAPER-1772203894,SENSEX 05MAR 81200 PE,"CBB0, CBB4",367.45,350.7,900,10,2026-02-27 20:21:34.015030,2026-02-27 20:21:34.150381,-150750.0
PAPER-1772203894,SENSEX 05MAR 81200 PE,"BB17, CBB0, CBB4, Green",368.1,316.8,900,10,2026-02-27 20:21:34.151799,2026-02-27 20:21:34.217315,-461700.0000000001
PAPER-1772203894,SENSEX 05MAR 81200 PE,"BB17, Green",326.6,311.35,900,10,2026-02-27 20:21:34.416811,2026-02-27 20:21:34.618122,-137250.0
PAPER-1772203895,SENSEX 05MAR 81200 PE,"BB17, Green",313.9,312.05,900,10,2026-02-27 20:21:35.087279,2026-02-27 20:21:35.493784,-16649.999999999694
PAPER-1772203896,SENSEX 05MAR 81200 PE,"BB17, Green",329.6,306.2,900,10,2026-02-27 20:21:36.245859,2026-02-27 20:21:36.386867,-210600.00000000032
PAPER-1772203899,SENSEX 05MAR 81200 PE,NRCB,141.15,146.3,900,10,2026-02-27 20:21:39.654246,2026-02-27 20:21:40.181508,46350.00000000005
PAPER-1772203902,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",128.5,125.1,900,10,2026-02-27 20:21:42.032439,2026-02-27 20:21:42.112970,-30600.00000000005
PAPER-1772203902,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",128.5,125.35,900,10,2026-02-27 20:21:42.114441,2026-02-27 20:21:42.195713,-28350.00000000005
PAPER-1772203902,SENSEX 05MAR 81200 PE,"BB12, BB17, Green",128.5,122.85,900,10,2026-02-27 20:21:42.197752,2026-02-27 20:21:42.513639,-50850.00000000005
PAPER-1772203903,SENSEX 05MAR 81200 PE,"BB12, BB13, Green",130.75,125.45,900,10,2026-02-27 20:21:43.159629,2026-02-27 20:21:43.324400,-47699.99999999997
PAPER-1772203904,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB4",132.5,129.3,900,10,2026-02-27 20:21:44.309739,2026-02-27 20:21:44.478561,-28799.999999999898
PAPER-1772203905,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBBR1",132.65,129.1,900,10,2026-02-27 20:21:45.068649,2026-02-27 20:21:45.240905,-31950.000000000102
PAPER-1772203905,SENSEX 05MAR 81200 PE,"BB5, BB12, BB17, CBB0, CBB1, CBB2, CBB5, CBB6, CBB7, Green",181.25,180.15,900,10,2026-02-27 20:21:45.587962,2026-02-27 20:21:45.852584,-9899.999999999949
