id,dispName,excToken,lot,tick,asset,freezeQty,weekly,undId
OPTIDX_BANKEX_BFO_2026-02-26_58200_PE,BANKEX 26FEB 58200 PE,1173810,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58300_CE,BANKEX 26FEB 58300 CE,1174040,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58300_PE,BANKEX 26FEB 58300 PE,1173734,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58400_CE,BANKEX 26FEB 58400 CE,1174221,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58400_PE,BANKEX 26FEB 58400 PE,1173931,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58500_CE,BANKEX 26FEB 58500 CE,1174147,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58500_PE,BANKEX 26FEB 58500 PE,1174123,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58600_CE,BANKEX 26FEB 58600 CE,1173741,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58600_PE,BANKEX 26FEB 58600 PE,1174059,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58700_CE,BANKEX 26FEB 58700 CE,1173946,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58700_PE,BANKEX 26FEB 58700 PE,1174244,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58800_CE,BANKEX 26FEB 58800 CE,1173866,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58800_PE,BANKEX 26FEB 58800 PE,1174175,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58900_CE,BANKEX 26FEB 58900 CE,1170685,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_58900_PE,BANKEX 26FEB 58900 PE,1170507,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59000_CE,BANKEX 26FEB 59000 CE,1170736,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59000_PE,BANKEX 26FEB 59000 PE,1170564,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59100_CE,BANKEX 26FEB 59100 CE,1170693,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59100_PE,BANKEX 26FEB 59100 PE,1170512,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_59200_CE,BANKEX 26FEB 59200 CE,1170814,30,0.05,option,900,,IDX_-94_BSE
